index,MORGAN_BTSR
127,10000000100010110010010000001001111110010000000000000000001000001100010000000000010000110000000010001000000111000000010000100100
128,01101100000010100010000100001010001110010010110100100001000000101110000000000001110000100010000001001010010100000000100000110100
129,10100000001001011001000010000000011100010000000001101001101000011010000011000000010010100000100000001011000110000000000000100100
130,11000000111001001001100010000000011100010000000001000100101100010000000010010000010010100000100000001011000010000010000000100100
131,00000100001100000001000001000000110000010011001111100010001010001000010110000000010001111000000110001010000000000100000000100101
132,10001010001101001000000010001010010010010010000001000011000010011010010011100010010001100000000010001000011000110100000010100100
133,01100000001111000001000000000000010100010010001011000010001000001001010010000000010000101001100010001000000100100100000000100100
134,01000100001000010000000000100000010000000010000100001100000100001000000000101001110001100010000011001000000000010000100000100101
135,01101000001000100011001000100010011110111000100000000101001000000000000000000000110010100111000000101010110100001000000000100100
136,00001000001000000001000000000010000110010000100100001000011010001000000000100000010010100010000000001000000100000001100010000000
137,00001101001010100001000000011011000110010000000000000010001000011000010001100000111000101000100000101011010000000100000000000101
138,10000110011000001000001010001001010000010000000100000000001100001100000110000000010000100100000001001000010100110000010000000100
139,01000000001000001011000010010001011000010001010100001011011000100010100010000011110000100010000000001100000100000010010000000000
140,10000110101000001001000100000000010010010000001111011000001000001000100000000000111000101000000010001001010000000001000000100100
141,11000000111000001010100100001000010000010101000000000000000100000000000000010000110001100001000000101001000000000010100000000100
142,01000000011000100000001000010010010110010000000100000000001000011010100010010001110010100001001000101000000100000100000001000000
143,10010000001100111001000010000011010000010000000000000110011000011100010010010000110000100010000000001110010100000000010000000101
144,10010000001100111001000010000010010001010000000001000110011000011110000010010000110000101010000000001110010100000000000000000101
145,10001110001000010000000010001011110000010100000100000001101000011110000000000000110000111000000000011001000100000000010000010101
146,10001110001000010000000010001010100000010100000100000001101000011110000000010000110000110000000000011001000100000000000000010101
147,00000100001000100000010101100110010100010000100100000101010000001000001010000000110001100100000011001000000000000100100010100100
148,10000000001000010010000010000000110000110100100100011000001000001011000011000101110001101010100000101000010000010000100000110100
149,10000001000000010000000000111000110111110000011100000110001000011001000010001100110100100011000010001100000100000000000000110000
150,11000100001000000000000000010000110001010000000100100001000000011110100001010010110000100000000000101000000000000000010000000100
151,00011100001000100000001000000010101110010010000100000000011010001000001000100000110000110010000000001000101000100000100000000000
152,00010000000000010001000100001010000010010000000001000000000000001000000010000110010000100010000000001001000010110001010000000000
153,10000000001010010001000101000011010001010000000101100111000000001000000011000000110000101100010000001000000100001000000010000100
154,11000100001000000001000010000000000100011100010100101101000000011001000000100000110001100110100000001000000000000000000010100101
155,11110000001000001010010000010110110010010000110101011000011000000000000010000100110000000001000100011000001001000000001011111001
156,00010100011000001000000100000000011000010000000101100100100000011000000001001001111010110010000000001000100100000000100100100000
157,10000000001000000000010001000111110100011000000001000000001000010000100010010100010000110000001000101010000100010000001000010000
158,10000000001000010010100110100000110000110000010101010000100000111100100000010101110000111000000000001000000100000000010001000100
159,10000100101110000100001000000000011000100000101000100001000000010010010101000100110010100010011010001000100101001000000001100001
160,11000000000000010001001000010100011001100000100100100000000001011000111100100100110000100001000000001000110101001000000000100000
161,00000000000000000000000000000001011011110000000101000000101001011000000000000101110010110000101000001000010000010000000001111000
162,00001101000000000010100011001000010010110010000100000000001000011000000000000001110000101000000000001010000000001000000000101000
163,00010000001100000000010001000010011011110011010000001000000100000001000000000000010000000000000000001001000000100000000001111001
164,00100000101011000101011000000000011100111000001000000001101001011001010001100000110000100010000000001000000100100000010100101111
165,01101000001001000111011000000000011100110000010000000001001001011001010000000010111000100010000000001000000000100000010110101111
166,00110000001010000000001000000000011100000000100100101000011100011100000001100000010010100010000000001000000100100000010100101011
167,00001000001000001000001000000010010000000000000001100010001010000000100000100100010000000000001000001000010100010000001100001000
168,01000000001000001110001000011000010000110000100000001001001010000011110001100110110000100000010010001000000101101000000100000100
169,10000000001000010001000010001000100011010000001111000010100001011000010010000100110000101010000000001000000100000000000000000111
170,10001110101000011000000010000000110011010100100100000000101100011000000001000101111000100000000110001010100100000000010010100101
171,01000000001000000101010010000000110000110000000101000011001010011010000001110010110000100000000000001000010000000010000100100100
172,01000100001000100001100000010000010000010010010100000111001000001000000000011001110010100011000011001101000000000001000000010000
173,00000010000010101011001001000111111010110000000001011110000010001000000100000001010000100010110000011000100000101000010011010000
174,10010000100000000000100000000001010010110000000000110001001100010100000001000110110010101110001101001000000101000000010001100000
175,01001001000001001001000000010000010000010000000000001000000000100100110000000001101000000000001000101000010010000000100000010000
176,10010000001100001000000000010010110010010000100100011000001000000100000010100100110000000100001100001000001000000000000011100011
177,11101000100100001000000000001111010001111000010000010010011000100000010101100001010000100100001000101000010100010100000000000100
178,11001100011000000101000000010010011000010010000100000001011100001001000001100000110000100010001000001000010011100000010000110100
179,00000100001000000000000000010001110000010000100000000001001000000000000001001100110010000000000000001000000100010000000000000100
180,11000000001010000001000010010000010000010000000001000100100001010000011000010000010111101000000000001000100100000000000000000100
181,01000101001000000100000100010000010000010000010100000001000000001000010110000000010001100000000000001010000000010100000000001100
182,10000100100010001001000100000000000000000000001111000000000000001000100000000000110000101000000010001000100000000000000001100000
183,11000100001000000000000000000000010000011000000000101001000001000011000101000000010001101000001000011000000100000000000011000100
184,01100010100010000000000001000000110000010000000100000010011110001100000000000000010001101010100110001000010000000010000100100100
185,00000000100010011001100100000001010000000001001011000010101000001000100000000001110101101010100010001000100110010000110000110000
186,10001000100001010001001010001110011100000010010001010001000000010010000001101010010101100100110000011010100000001000010000110000
187,11010100001001000000000010010000010001010000000100000111001000011010000101010111110010100000000100001010000100000000000000110100
188,10000100001000000000001110000111011100010011010000100010000001010000000000100000110001101000000010001111110000001000000100011100
189,00000000000010100001001100000110111111110010010100000010000010011011000100110100110001101000101010001111110000001000000000011000
190,10000000001011000001010000000111011100010000000001100100001000010000000001001100011000000000000000001000000100010000000000101111
191,10000100001000001000000010000001110000010100000100000100001000011000000011110000110001100000000000101000100101010000100000100100
192,10101000001001001000000000100010110000010000000000001001101000010010001011111010110001100100000000001000100101010100100010100100
193,01000100000010100001000010110010110000110011000100010000001010001000000110000001110010100011000010011100000000000100000101100000
194,01000000000010100001000000110110010000010000000101000000001000001000010010000111010010100001000000101001000001100100000101100000
195,10101100001000000010000100000010000001010010010100000000000000101000010010000011110000100110000001111000000000000100000000010111
196,11101101001011000000000010000010010000010100010100000111001000010010100011010010110001100000000000101000000100000000111100110100
197,10001000011010001001000000000011011000010010110001000110000010000000110000000000110000100000001000111010110000010000000010110101
198,10010010001000011001010110101010110000110110001101000100000000001000000010000100110000100110000010001011000001010010100000000100
199,00001001001000000000000000100111110000110010000000000000001000010000011011001110111001100100000000001000000101010100100010100100
200,01000100000010011001000010010010010000010010000100000001001000101000100010100000110000100010001000011100000100000001010101100001
201,01000110000010011000111010001010000000010010100100000010001000101000000010100000110000100011001100001100000001000000010101100001
202,10100000100010100000000001000011010010010000000100101001001000001000001001000000010000101000000110001000010110000000000001100000
203,11010000101000000000000010010101010100011000000000000000001100110000010000010000010000000000000000001010010100001010010010100100
204,10110010100000000000000000000000110000010000001101010010000110011011000000000100110010111110000000001010010000000010000000100011
205,10111001001000010000000100000010110000010000110000000101001010001000001010000011010000100110000000101001000000010000000100111100
206,11000100001010110100000010000001111100010111100100100001001100001010010000000000110000100010110100101000010100000000010000110100
207,10101000101010100101010010000010100010010000010101000000000000001000000010000010110000111110000011001000111000000000000100110100
208,11100000001010110000000010010001010100011000010000000000101000010000010000000000110000001000000000001000000101000001000011100100
209,00000101011010000010001000000000111100110000000000101000011000011010000011000000100101000000010000001000000000100001100000101111
210,11010000001010100001000010000001111100110011101000000001001100000010000000000010110000100000001000001010010100000000000000110100
211,10101101001000100100010010000010100000010100010001000100000000010000000010010010110000100000000000001000000000000000000000010101
212,10000000001000000101000010001000011001111100000111100001000000001000010111000100110000111010101000011000000110100000000101000101
213,10000001111010011001000000000010010000000100010001000000001000000000100000000000010000100000001000101100000100010000001010010000
214,10011000001010000100000001000010010010010100110100000010001000000000010000100000110000100010001000101000010000000000001100110100
215,10000000101000001100000010001010010001111100000100000000011000001000010111000100110000110010100010101001000110000100000101000101
216,11000001001010000000000000000001010010110000000000010000001010000000000100000000111001100000000001001000000100001111100110100100
217,00101000001000000001100001000010010100110100110000000101001000110011010100100010110000100010010000001000000101100110000100110100
218,00000010011000101001010001000001110100010001000000001100001000111010110100000000111000100010000000001000100100100110010101010101
219,11000000000011010001000010100010010000010010100100000011001000111010000011100010110010100010001010001100000000000010001100100001
220,01000000100010011000000000000110011000110010010101011000001000100000000010000100100000000000000001001100000001000110000100111001
221,10000011001000000000100010000011010000110100000100001000011001010001100000001001111001000010000000101000000100010010100100100100
222,00001011001000000000100000100010010000110000000000001000011001010000101010000011111001000110000000001000000000000110100010100100
223,11000100001010100001010000010001000100010000000000001000011000001000000000000001110000101000000010001010001000000100010010000101
224,10111000001000100100001010000010011011010000000000010111000000010000000011010000010000100110001001001010010000100100000000000100
225,11010000100001000000010100010010010010110000000100000101000000010010000011000010110000100100000001101000010001100000010000000100
226,11000100001000000001000010010000110100010100010101000000101000011000000010010000110001100000000010101000000100110000110001000100
227,10001000000000101000000000011011001000010000010100000110000010000000111010100010100000000000000001000000010000110000000111010001
228,10000000101110001000000000000010100011011100000000000010110000000001010100100110110010110110000000101000011100110101000100110101
229,11000000101010101001000000000001100110010100000000100100000000011101110000100110110010110100000010001000110000100100000100110101
230,11000000101010110000000000010011110110110110000000000000000000101000000010000010110000110100011001101000010000000100010100110101
231,00000110001000010001000100100010100000010000101101000000000000001000000110100000110011100000000010001000001100010110100001100101
232,10000100001010000011010001010000000010010110000100001000010010001000010000000000110001100011000000111000010100000000110000100100
